#Associated Gene Name	UniProt/SwissProt Accession
CPHXL	A0A1W2PPM1
DUX1	O43812
DUX3	Q96PT4
DUX5	Q96PT3
DUXB	A0A1W2PPF3
ERFL	A0A1W2PQ73
FOXL3	A0A1W2PRP0
FOXO3B	A0A2Z4LIS9
HSFX3	A0A1B0GWH4
HSFX4	A0A1B0GTS1
JRK	O75564
KLF18	A0A0U1RQI7
NANOGP8	Q6NSW7
NFE4	Q86UQ8
NFILZ	A0A5F9ZHS7
PHF19	Q5T6S3
SKIDA1	Q1XH10
TBXT	O15178
ZNF221	Q9UK13
ZNF487	B1APH4
ZNF525	Q8N782
ZNF56	Q15929
ZNF595	Q8IYB9
ZNF66	Q6ZN08
ZNF705E	A8MWA4
ZNF705F	A8MVS1
ZNF714	Q96N38
ZNF718	Q3SXZ3
ZNF723	P0DPD5
ZNF724	A8MTY0
ZNF761	Q86XN6
ZNF788	Q6ZQV5
ZNF806	P0C7X5
ZNF875	P10072
ZNF888	P0CJ79
ZSCAN5C	A6NGD5
MIDEAS	Q6PJG2
MYCLP1	P12525
ZFP69B	Q9UJL9
ZNF137P	P52743
ZNF321P	Q8N8H1
ZNF355P	Q9NSJ1
ZNF542P	Q5EBM4
ZNF788P	Q6ZQV5
ZNF833P	Q6ZTB9
MEIS3P2	A8K0S8
ZNF658B	Q4V348
NANOGP1	Q8N7R0
ZNF876P	Q49A33
ZC3H11B	A0A1B0GTU1
DUX4L2	P0CJ85
DUX4L3	P0CJ86
DUX4L4	P0CJ87
DUX4L5	P0CJ88
DUX4L6	P0CJ89
DUX4L7	P0CJ90
DUX4L9	Q6RFH8
HMGB1P1	B2RPK0
MEIS3P1	A6NDR6
PMS2P3	Q13401
SCAND2P	Q9GZW5
UBTFL6	P0CB48
ZNF702P	Q9H963
ZNF726P1	Q15940
ZNF738	Q8NE65
ZNF75CP	Q92670
ZNF818P	Q6ZRF7
ZNF826P	Q6ZT77
ZNF861P	O60384
ZNF840P	A6NDX5
ZSCAN5DP	P0CG00
