GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A060PW62	Nkx2-1	enables	GO:0043565	sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017970	10116	InterPro		F
UniProtKB	A0A068JFJ9	ESR1	enables	GO:0043565	sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10116	InterPro		F
UniProtKB	A0A068JIX3	ESR1	enables	GO:0043565	sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001628	10116	InterPro		F
UniProtKB	A0A075FKQ4	A0A075FKQ4	enables	GO:0035497	cAMP response element binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029808	10116	InterPro		F
UniProtKB	A0A096MIW8	Mxd4	contributes_to	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	ECO:0000266	ISO	PMID:8521822	RGD:1312920	10116	RGD		F
UniProtKB	A0A096MIX7	Zic3	enables	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	ECO:0000318	IBA	PMID:21873635	FB:FBgn0003002|MGI:MGI:101786|MGI:MGI:106676|MGI:MGI:106679|MGI:MGI:106683|MGI:MGI:107201|MGI:MGI:1929518|MGI:MGI:1932535|PANTHER:PTN001803442|PomBase:SPAC6G10.12c|SGD:S000003592|UniProtKB:O60481|UniProtKB:Q14872|WB:WBGene00004335|WB:WBGene00006604	10116	GO_Central		F
UniProtKB	A0A096MIX7	Zic3	enables	GO:0043565	sequence-specific DNA binding	ECO:0000266	ISO	PMID:17764085	RGD:1347201	10116	RGD		F
UniProtKB	A0A096MIX7	Zic3	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ECO:0000266	ISO	PMID:17764085	RGD:1347201	10116	RGD		F
UniProtKB	A0A096MIX7	Zic3	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ECO:0000266	ISO	PMID:11053430	RGD:1557273	10116	RGD		F
UniProtKB	A0A096MIX7	Zic3	enables	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	ECO:0000266	ISO	PMID:18298960	RGD:1557273	10116	RGD		F
UniProtKB	A0A096MIY0	Dlx6	enables	GO:0043565	sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017970	10116	InterPro		F
UniProtKB	A0A096MJ05	Zfp35	enables	GO:0043565	sequence-specific DNA binding	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN001226165|UniProtKB:P13682	10116	GO_Central		F
UniProtKB	A0A096MJ09	Mef2c	enables	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033896	10116	InterPro		F
UniProtKB	A0A096MJ23	Mef2c	enables	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033896	10116	InterPro		F
UniProtKB	A0A096MJ70	Prdm16	enables	GO:0043565	sequence-specific DNA binding	ECO:0000266	ISO	PMID:17618855	RGD:1620785	10116	RGD		F
UniProtKB	A0A096MJ70	Prdm16	enables	GO:0043565	sequence-specific DNA binding	ECO:0000266	ISO	PMID:12816872	RGD:1353101	10116	RGD		F
UniProtKB	A0A096MJD5	Pknox2	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ECO:0000318	IBA	PMID:21873635	MGI:MGI:104717|MGI:MGI:1201409|MGI:MGI:97495|MGI:MGI:97496|PANTHER:PTN001723890|SGD:S000006098|UniProtKB:O14770|UniProtKB:Q15583	10116	GO_Central		F
