human	mouse
8260	97243
8260	56292
7005	21678
9349	100862455
9349	100044627
9349	65019
9349	100039086
140465	216459
143496	259083
3275	15468
84182	330323
284434	319555
3054	15161
60412	20336
90326	69876
255189	271844
27023	64290
27023	14240
54014	93871
54014	93871
7827	170484
81616	328845
912	12479
10667	69955
10667	69955
221424	224813
51112	217449
7448	22370
9416	74351
137392	68099
137392	68099
5230	18655
349149	118446
5313	18770
53345	107770
6888	21351
836	12367
9515	207227
1123	69993
1123	69993
1123	108699
7137	21954
91869	328370
10952	66212
1997	13709
5805	19286
10936	237716
129881	75051
22844	666060
2516	26423
27148	269209
3014	15270
4905	18195
56113	93709
56113	93710
7818	65111
81442	258713
8553	20893
26121	68988
28512	69721
317719	66720
389524	114674
4619	17879
493829	434246
56998	67087
3191	15388
85413	70840
129642	218121
129642	67216
1258	333329
248	76768
248	11648
248	11650
7398	230484
81327	258370
81327	258788
81327	258468
81327	258786
81327	259145
81327	258784
81327	258447
81327	258968
81327	258787
81327	258967
81327	404331
81327	258804
81327	257984
10085	13612
390037	258749
56311	75196
8608	27400
8608	19683
8608	54150
8608	216454
8608	107605
8608	216453
8608	103142
9258	52065
56300	215257
58510	56189
10421	70233
11238	56078
11238	12352
121665	74585
134553	78521
5601	26420
8001	110304
134510	79560
1983	217869
284207	210029
284207	70083
3221	15423
56648	208691
6558	20496
80741	114652
2280	14226
5586	109333
57565	225266
10982	212307
10982	212307
112268343	100039227
112268343	100039293
112268343	278672
112268343	672498
51230	228829
7166	21990
85456	228140
10983	12453
2885	14784
30968	66592
6205	27207
84247	223732
137797	57277
137797	68311
25913	101185
25913	72836
25913	72836
160140	75311
225689	332110
440836	70113
440836	69287
642475	223645
81573	433667
10962	56772
23172	109359
283159	18324
283159	258269
283159	258433
339829	51938
8636	68475
51666	65255
5704	23996
7372	22247
8034	73132
8034	73132
148789	97884
219986	258675
219986	258674
219986	258155
219986	258676
219986	258805
23768	399558
25977	67602
338879	75019
54205	13063
8099	102634727
8099	13445
145788	546143
26532	258939
55603	212943
57419	94249
6228	66475
8985	26433
1471	58214
1471	13010
529	11973
7153	21973
10111	19360
10859	18729
10859	18722
10859	100041146
10859	18733
10859	18726
10859	18725
10859	100038909
472	11920
10285	76479
3040	15122
3040	544763
3040	216635
3040	110257
3761	16520
55745	74385
64395	23885
51550	67236
79006	210029
79006	70083
85376	239731
8625	19727
898	12447
100527949	83408
100527949	317757
126370	257883
163786	72776
1717	13360
7092	21892
7857	20254
79050	100608
8867	104015
107987491	100039227
107987491	100039293
107987491	278672
107987491	672498
9646	22083
2882	67305
3849	16681
4099	17136
6695	20745
79842	75291
9469	53374
27297	12909
6340	20278
80772	79554
23532	665943
23532	77632
23532	665290
23532	329984
23532	100041354
23532	320549
27075	66109
3449	15965
3449	230396
3449	15969
3449	15968
3449	242517
3449	15970
3449	15964
3449	15972
3449	15967
3449	15962
3449	15974
3449	230398
3449	404549
3449	242519
9368	26941
11186	56289
400746	230822
4514	17710
51567	56196
58478	67870
8702	56375
51103	69702
654346	16859
136991	74068
57082	76464
64109	57914
7008	21685
51495	57874
60506	236690
655	12162
94107	227615
345651	238880
55142	66296
692094	100039672
6945	21428
10148	50498
118426	67774
1431	12974
1431	71832
84083	226409
163351	229900
163351	17472
163351	76074
163351	236573
163351	626578
163351	55932
163351	100702
8562	68184
1859	13548
26061	56794
340578	245404
340578	245403
3887	100126226
3887	64818
3887	16679
84694	14610
345630	237730
345630	14113
57175	23789
57175	23789
858	12390
4781	18028
56267	229905
57093	666731
57093	666747
57093	547109
6621	227644
6855	20977
6855	72003
10941	94215
259287	387353
280	109959
280	100043684
280	100043688
280	11722
280	100043686
280	545562
54763	76378
55423	19261
55423	668101
55423	320832
55423	100038947
55286	76261
79042	66078
255967	72587
2322	14255
3949	16835
7266	56354
1200	12751
286887	16688
286887	110308
286887	16687
28986	75625
54583	112405
140	11542
3802	245616
3802	245615
2152	14066
56659	217826
56659	210741
94239	51788
728373	384701
728373	381944
728373	13531
728373	13532
728373	625530
29933	56696
143458	241576
1747	13393
2570	14408
2570	14409
25879	223499
170394	101631
8317	12545
9217	56491
64711	328779
56129	93892
56129	93891
56129	93890
56129	93873
56129	93886
56129	93889
56129	93874
85004	232441
81892	380773
128312	319186
128312	319181
128312	319179
128312	319188
128312	319184
128312	319180
128312	319183
128312	68024
128312	78303
128312	319187
128312	319185
8344	319186
8344	319181
8344	319179
8344	319188
8344	319184
8344	319180
8344	319183
8344	68024
8344	78303
8344	319187
8344	319185
1677	13368
7280	22151
7280	227613
7280	73710
7280	22153
7280	22154
100287404	384701
100287404	381944
100287404	13531
100287404	13532
100287404	625530
2647	14533
9655	56468
55032	74102
122664	219038
55808	20445
55558	18846
27333	73124
54822	225997
54822	225997
54822	58800
1314	12847
388335	338369
6910	21388
221472	26382
84924	72556
9972	218210
85377	27008
2569	14408
2569	14409
131965	67011
390429	258657
390429	258659
390429	258487
163183	233066
51285	70784
117178	99167
100288520	384701
100288520	381944
100288520	13531
100288520	13532
100288520	625530
30010	18231
8341	319186
8341	319181
8341	319179
8341	319188
8341	319184
8341	319180
8341	319183
8341	68024
8341	78303
8341	319187
8341	319185
65987	233529
1822	13498
5067	53870
5067	18488
5067	269784
5067	244682
390054	18369
390054	18370
4723	17995
51744	18106
439996	112419
439996	15957
439996	667373
643382	619301
9852	77781
115761	219144
80173	67694
80173	67694
7957	13853
5277	18700
8999	53886
10216	96875
9427	13599
23093	320244
55329	17427
79172	52504
8576	20872
390157	258575
8347	319186
8347	319181
8347	319179
8347	319188
8347	319184
8347	319180
8347	319183
8347	68024
8347	78303
8347	319187
8347	319185
10112	19348
2254	14180
2254	80857
2254	80903
10892	240354
5078	18506
728393	384701
728393	381944
728393	13531
728393	13532
728393	625530
5223	18648
