10090_22259	10116_58852	9606_10062
10090_14399	10116_29708	9606_2559
10090_84095	10116_114554	9606_55361
10090_19223	10116_25527	9606_5740
10090_67498	10116_60326	9606_27012
10090_13070	10116_29680	9606_1583
10090_240595	10116_294065	9606_169522
10090_23921	10090_20399	10116_89817	10116_114203	9606_10603	9606_10603	9606_25970
10090_64817	10116_685899	9606_79987
10090_59043	10116_288692	9606_55884
10090_12716	10116_29593	9606_548596	9606_1159
10090_58799	10116_297498	9606_51185
10090_103080	10116_309891	9606_151011
10090_71375	10116_314374	9606_1112
10090_18807	10090_104759	10116_361527	10116_362792	9606_122618	9606_23646
10090_16565	10116_289397	9606_23046
10090_11550	10090_11548	10116_29413	10116_24173	9606_147	9606_146
10090_235379	10116_315675	9606_342035
10090_80287	10116_315137	9606_60489	9606_140564	9606_27350	9606_9582
10090_20272	10116_64155	9606_6332
10090_216643	10116_81658	9606_2568
10090_22247	10116_288051	9606_7372
10090_67897	10116_291534	9606_8731
10090_93840	10090_229658	10116_690366	10116_289229	9606_81839	9606_57216
10090_24010	10116_291659	9606_3550
10090_100216474	10116_292311	9606_83887
10090_101631	10116_361671	9606_170394
10090_20475	10116_308406	9606_147912
10090_66691	10116_311880	9606_26130	9606_26130
10090_26878	10116_686081	9606_8707
10090_67059	10090_67059	10116_296488	9606_29789
10090_12039	10116_25244	9606_593
10090_19044	10116_289219	9606_5498
10090_55989	10090_55989	10116_60373	9606_51602
10090_27426	10116_360476	9606_51172
10090_232875	10116_499083
10090_67063	10116_362518	9606_84302
10090_75747	10116_315427	9606_143686
10090_16526	10116_170899	9606_3776
10090_16522	10090_16522	10116_25743	9606_3763
10090_14190	10116_84586	9606_10875
10090_74843	10116_289904	9606_118490
10090_246228	10116_298683	9606_64856
9606_7762
10090_210106	10116_306672	9606_11044
10090_210710	9606_139716
10090_207819	10090_207819	10116_689561	9606_389384
10090_14569	10090_14567	10116_29662	10116_25183	9606_2665	9606_2664
10090_66882	10090_66912	10116_171439	10116_363232	9606_9689	9606_28969
10090_100340	10090_57319	10116_362619	10116_294422	9606_27293	9606_10924
10090_17246	10116_314856	9606_4193
10090_22601	10116_363014	9606_10413
10090_66881	10116_246302	9606_51449
10090_13667	10116_117019	9606_8890
10090_59036	10116_500666	9606_51339
10090_56739	10116_290227	9606_9985	9606_9985
10090_23853	10116_309642	9606_50619
10090_212285	10116_305367	9606_116984
10090_18436	10116_25505	9606_5023
10090_16872	10090_16871	10116_170671	10116_360858	9606_89884	9606_8022
10090_22367	10116_362779	9606_7443
10090_67143	10116_309031	9606_64376
10090_13200	10116_313648	9606_1650
10090_13488	10116_24316	9606_1812
10090_195208	10116_291130	9606_51473
10090_214931	10116_494223	9606_146330
10090_245525	10116_100360790
10090_15360	10116_24450	9606_3158
10090_76257	10116_252919	9606_10991
10090_319945	10116_751787	9606_80308
10090_54484	10090_22652	10116_292988	10116_296988	9606_23608	9606_7681
10090_68339	10116_362770	9606_440193
10090_245020	10116_315957	9606_80723
10090_55994	10116_103691556	10116_85435	9606_4093
10090_14537	10116_64043	9606_2650
10090_21420	10116_362280	9606_7022
10090_15559	10116_29581	9606_3357
10090_58988	10116_361696	9606_6199
10090_106522	10116_313860	9606_91461
10090_22029	10116_687813	9606_7185
9606_22900
10090_110789	10090_110789	10116_100362255	9606_84059
10090_76448	10090_76448	10116_361790	9606_170954
10090_71765	10116_363192	9606_116138
9606_162972
9606_5524
10090_94221	10116_309774	9606_57120
10090_21808	10116_81809	9606_7042
10090_18041	10116_84594	10116_100911034	9606_9054
10090_242819	10116_688590	9606_154661
10090_12258	10116_295703	9606_710
10090_666048	10090_666048	10116_689914	9606_388630	9606_129293
