rat	mouse
304507	23960
494199	23960
100910735	23960
246268	23960
192281	23960
363060	76509
315762	70784
25407	12509
362317	79264
500688	214321
57022	214321
295143	66841
84605	387564
680174	387564
103694614	100040335
103694636	100040335
103694591	100040335
108350190	100040335
108353098	100040335
103694600	100040335
108353379	100040335
108353376	100040335
103694745	100040335
103694768	100040335
301816	100040335
108353386	100040335
108353326	100040335
103694627	100040335
108353327	100040335
103694622	100040335
103694747	100040335
103694776	100040335
100910078	100040335
302228	100040335
681107	100040335
103694605	100040335
103694603	100040335
108353321	100040335
103694730	100040335
103694731	100040335
103694606	100040335
103694775	100040335
103694726	100040335
103694602	100040335
103694604	100040335
108353325	100040335
103694601	100040335
103694599	100040335
103694624	100040335
25756	12895
680944	19655
307779	19655
302855	19655
140941	20437
689918	214105
362779	22367
501779	57781
64357	57781
81507	12166
365367	12478
102554774	385138
108349347	385138
102549465	385138
108350933	385138
102547212	385138
102546376	385138
103692302	385138
108352875	385138
492821	58801
363521	66826
298963	71156
306288	105450
24309	13170
310638	192195
316403	212679
100911305	212679
362077	215274
114020	93673
64570	93673
500237	93673
102556148	93673
103690120	93673
59300	93673
103690139	93673
102549803	93673
171084	93673
113892	93673
100910829	93673
316218	107477
100909976	107477
304883	11352
304883	11352
364785	64707
497878	18196
25247	18196
360492	278676
316982	67246
691493	68014
300220	239659
305265	243084
117185	50877
286906	71853
361422	72042
24171	11519
65262	11946
84495	22594
100310876	353165
690448	353165
317189	54004
299261	64113
363137	56368
63912	63913
282585	67568
309150	107239
100310877	112408
170520	114886
29565	13629
311553	228790
100359512	53612
303353	69077
303300	74148
84392	16568
306814	18676
100911379	433638
100363228	433638
310025	68927
29660	93843
100361376	235041
297804	56711
25263	17153
300891	21761
404811	258466
295917	258466
404812	258466
405996	258997
405999	258997
406000	258997
405998	258997
304026	258997
363761	258997
405997	258997
288198	258997
65138	56436
363029	66962
502648	100039087
25390	11933
25163	12579
25164	12579
307848	234730
25206	239134
293803	258628
405932	258628
293794	258628
405931	258628
405933	258628
365877	319165
64646	319165
680615	319165
499675	319165
690131	319165
103690190	319165
100910554	319165
64538	67444
361430	234839
58974	56486
690354	108755
24165	11486
306956	12231
171365	20638
405017	259116
405906	259116
293201	259116
306619	26889
360552	75273
293489	75764
24715	19701
361068	213484
316395	329152
689963	330428
314800	380660
314800	380660
312965	68053
306725	72219
498693	72219
502113	72219
502372	74075
287635	94064
368042	107182
368042	107182
363578	171285
366518	230979
293437	258729
293392	258729
293402	258729
293399	258729
103690410	258729
293382	258729
293398	258729
