rat	human
363518	8260
289482	8260
100909833	8260
498890	8260
294299	7005
29282	9349
294109	143496
293195	143496
499420	3275
312365	84182
680258	148198
100364350	284434
100911260	3054
363519	3054
116654	60412
362667	90326
691907	255189
691398	27023
304061	54014
170672	7827
301120	81616
25109	912
306879	10667
501101	221424
314013	51112
29169	7448
300208	9416
297903	137392
24644	5230
288529	349149
24651	5313
689029	53345
83688	6888
25402	836
288080	9515
84030	1123
689153	1123
29248	7137
290552	91869
298068	10952
85424	1997
29498	5805
680104	728255
497995	728255
498434	10936
311113	129881
313244	22844
83826	2516
301516	27148
500987	3014
60355	4905
498846	56113
553129	56113
295238	7818
289250	81442
79431	8553
292536	26121
305751	28512
303533	317719
288606	389524
287408	4619
365377	493829
503000	56998
80846	3191
682934	85413
313997	129642
498741	129642
83686	1258
24197	248
64621	248
100359675	248
313387	7398
404814	81327
404813	81327
405239	81327
404817	81327
405954	81327
404816	81327
366113	81327
295900	81327
295910	81327
404815	81327
404818	81327
295907	81327
405953	81327
688400	10085
684179	390037
502733	56311
100362350	8608
299511	8608
286964	8608
360420	8608
306508	9258
499744	56300
361538	58510
293505	10421
302669	11238
54233	11238
360822	121665
498701	134553
50658	5601
114516	8001
360514	134510
295660	1983
108348073	1983
316842	284207
287151	284207
24459	3221
310261	56648
83629	6558
294245	80741
25639	2280
58950	2280
207122	5586
364823	57565
679221	10982
306226	112268343
311575	51230
24848	7166
295707	85456
289500	10983
81504	2885
298203	30968
81774	6205
300114	84247
300016	137797
300017	137797
690237	25913
500054	25913
315665	160140
286997	225689
365387	440836
500917	440836
100359562	642475
685374	81573
102548397	81573
295264	10962
293570	23172
100910162	283159
100910224	283159
100909885	283159
100910294	283159
286959	283159
100910120	283159
310315	339829
311802	8636
500017	51666
117262	5704
288051	7372
361836	8034
291212	148789
293759	219986
405036	219986
293762	219986
293761	219986
299236	23768
312694	25977
305840	338879
25309	54205
100363502	54205
360804	8099
691849	145788
100909683	26532
300870	55603
85267	57419
124323	6228
288583	8985
25307	1471
366219	1471
297566	529
360243	7153
64012	10111
65146	10859
361493	10859
361493	10859
308350	10859
683463	10859
690948	10859
100912499	10859
690955	10859
100912456	10859
300711	472
287768	10285
287167	3040
100361053	3040
116649	3761
305861	55745
312516	64395
299334	51550
316842	79006
287151	79006
303785	85376
306353	8625
25729	898
246774	100527949
680258	113835
405204	126370
299586	126370
108349745	163786
310807	163786
64191	1717
678743	7092
24765	7857
360828	79050
85238	8867
306226	107987491
293184	9646
613222	1669
298376	2882
29409	4099
306759	6695
499313	79842
84468	9469
114205	27297
24768	6340
313771	80772
691157	23532
366602	27075
298213	3449
298210	3449
298205	3449
100912356	3449
690894	3449
59114	9368
363140	11186
26204	4514
498749	51567
305177	58478
303923	8702
296086	51103
25476	654346
170578	136991
311327	57082
171499	64109
29362	7008
300783	51495
302516	60506
85272	655
311800	94107
293769	219981
294732	345651
100912076	55142
103691872	55142
691918	55142
100365008	692094
360631	6945
680609	10148
362452	118426
170587	1431
304761	84083
310917	163351
100911495	163351
685116	163351
685067	163351
305139	163351
687565	8562
25255	1859
85255	26061
298159	340578
313296	340578
407761	3887
407760	3887
313126	84694
292747	345630
363563	345630
29474	57175
363425	858
29227	4781
541589	56267
300884	57093
362088	6621
66030	6855
24804	6855
63867	10941
246219	259287
497039	280
103689940	280
24203	280
288053	54763
25528	55423
498368	55286
292534	79042
100909510	79042
360760	255967
140635	2322
300438	3949
303536	7266
405014	79296
83534	1200
369017	286887
367767	28986
690182	54583
308913	54583
100911796	140
25370	140
353253	3802
680258	57615
25584	2152
64120	56659
64119	56659
58940	94239
100910107	728373
689730	728373
314480	29933
366138	143458
287638	1747
29694	2570
29695	2570
362902	25879
680258	440519
361671	170394
360908	8317
60431	9217
684979	64711
291656	56129
680203	56129
548104	56129
307487	56129
498843	56129
548106	56129
108348201	56129
502916	85004
688717	81892
100359692	128312
303175	128312
691488	128312
100359692	8344
303175	8344
691488	8344
84359	1677
29213	7280
29214	7280
296554	7280
498736	7280
291081	7280
100910107	100287404
689730	100287404
680258	9534
680258	9534
288785	2647
500616	9655
498081	55032
498497	122664
287920	55808
309280	55558
680258	170959
310526	27333
293874	54822
679906	54822
304978	1314
287405	388335
304514	6910
309653	221472
502316	84924
25281	9972
362958	85377
680258	646864
29694	2569
29695	2569
290564	131965
290009	390429
290001	390429
290008	390429
108348128	163183
292781	163183
315762	51285
100909794	117178
308023	117178
100910107	100288520
689730	100288520
25501	30010
100359692	8341
303175	8341
691488	8341
308836	65987
100911672	1822
29515	1822
114589	5067
116658	5067
27256	5067
54279	5067
405911	390054
293262	390054
293655	4723
64025	51744
56824	439996
294090	439996
690368	643382
316021	9852
364396	115761
313365	80173
313365	80173
114005	7957
363464	5277
305242	8999
289104	10216
60417	9427
299208	23093
363093	55329
684439	79172
286927	8576
295751	390157
100359692	8347
303175	8347
691488	8347
361308	10112
60464	2254
66017	2254
25444	2254
680258	56242
307366	10892
83630	5078
100910107	728393
689730	728393
24642	5223
304012	54931
288596	135892
680258	163223
24493	3552
361677	54472
171574	1785
171574	1785
25751	1785
140694	1785
300635	390265
81641	290
307852	55066
100359692	8348
303175	8348
691488	8348
681415	2079
684538	79746
362191	89978
315758	54878
500950	57693
295750	219477
100909940	219477
295759	219477
295766	219473
404880	219473
295767	219473
405251	219473
404885	219473
100912540	219473
404884	219473
295763	219473
405252	219473
404887	219473
100912505	219473
404881	219473
100909831	219473
300691	4837
368066	4837
84424	7090
108349763	2854
680258	81931
94167	9588
362770	440193
310034	5884
307106	57713
293112	58487
365216	199731
29331	1404
60464	26281
66017	26281
25444	26281
100909916	51693
100909916	51693
292074	51693
498914	51693
100359692	8970
303175	8970
691488	8970
680258	148206
288489	7559
288486	7559
266997	117579
405137	393046
405134	393046
312213	91584
289392	91584
100910107	728400
689730	728400
54308	9748
300743	79748
301295	114327
361271	26019
499848	493860
687633	89910
301365	8809
25410	1053
289747	5008
24679	5576
29699	5576
116558	3578
311861	84929
103690010	84929
102553715	84929
287382	84929
25619	5328
360868	113402
292305	113402
291530	80323
294559	170392
363228	23671
100910107	100287144
689730	100287144
296600	11182
287436	1973
360637	124808
102552055	10218
